age,fnlwgt,education,relationship,race,sex,income,education_num,marital_status,capital_gain,capital_loss,hours_per_week,REP_native_country,REP_occupation,REP_workclass,_dataobs_
60,85815,HS-grad,Husband,Asian-Pac-Islander,Male,<=50K,9,Never-married,0,0,40,United-States,Craft-repair,Private,214
53,140359,Preschool,Not-in-family,White,Female,<=50K,1,Never-married,0,0,35,United-States,Machine-op-inspct,Local-gov,225
20,119156,Some-college,Own-child,White,Male,<=50K,10,Never-married,0,0,20,United-States,,,244
40,207578,Assoc-acdm,Husband,White,Male,>50K,12,Never-married,0,1977,60,United-States,Tech-support,Private,249
58,259014,Some-college,Not-in-family,White,Male,<=50K,10,Never-married,0,0,20,United-States,Transport-moving,Private,255
20,117789,HS-grad,Own-child,White,Female,<=50K,9,Never-married,0,0,40,United-States,Other-service,Private,257
45,187666,Assoc-voc,Not-in-family,White,Female,<=50K,11,Widowed,0,0,45,United-States,Exec-managerial,Private,259
30,70377,HS-grad,Own-child,White,Female,<=50K,9,Divorced,0,0,40,United-States,Prof-specialty,Private,275
60,173960,Bachelors,Not-in-family,White,Female,<=50K,13,Divorced,0,0,42,United-States,Prof-specialty,Private,284
50,176609,Some-college,Not-in-family,White,Male,<=50K,10,Divorced,0,0,45,United-States,Other-service,Private,288
37,57424,Bachelors,Not-in-family,White,Female,<=50K,13,Divorced,0,0,60,United-States,Sales,Self-emp-inc,297
26,94936,Assoc-acdm,Not-in-family,White,Male,<=50K,12,Never-married,0,0,40,United-States,Sales,Private,341
22,410439,HS-grad,Not-in-family,White,Male,<=50K,9,Married-spouse-absent,0,0,55,United-States,Sales,Private,365
46,277946,Assoc-acdm,Not-in-family,White,Male,<=50K,12,Separated,0,0,40,United-States,Craft-repair,Self-emp-not-inc,393
46,188386,Doctorate,Husband,White,Male,>50K,16,Never-married,15024,0,60,United-States,Exec-managerial,Private,414
29,188401,HS-grad,Not-in-family,White,Male,<=50K,9,Divorced,0,0,40,United-States,Farming-fishing,Private,424
23,204653,HS-grad,Not-in-family,White,Male,<=50K,9,Never-married,0,0,72,Dominican-Republic,Handlers-cleaners,Private,428
80,107762,HS-grad,Not-in-family,White,Male,<=50K,9,Widowed,0,0,24,United-States,,,431
30,29662,Assoc-acdm,Wife,White,Female,>50K,12,Married-civ-spouse,0,0,25,United-States,Other-service,Private,434
29,363425,Bachelors,Not-in-family,White,Male,<=50K,13,Never-married,0,0,40,United-States,Prof-specialty,Private,441
44,290521,HS-grad,Unmarried,Black,Female,<=50K,9,Widowed,0,0,40,United-States,Exec-managerial,Private,447
46,279196,Bachelors,Not-in-family,White,Female,<=50K,13,Never-married,0,0,40,United-States,Craft-repair,Private,476
41,193626,HS-grad,Unmarried,White,Female,<=50K,9,Married-spouse-absent,0,0,40,United-States,Craft-repair,Private,484
59,286967,HS-grad,Husband,White,Male,<=50K,9,Divorced,0,0,45,United-States,Transport-moving,Local-gov,488
38,91039,Bachelors,Husband,White,Male,>50K,13,Divorced,15024,0,60,United-States,Sales,Private,490
33,178107,Bachelors,Own-child,White,Male,<=50K,13,Never-married,0,0,20,United-States,Craft-repair,Private,495
43,112131,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,40,United-States,Exec-managerial,Private,508
20,214635,Some-college,Own-child,White,Male,<=50K,10,Never-married,0,0,24,United-States,,,518
34,108116,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,0,0,50,United-States,Prof-specialty,Private,520
44,210525,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,40,United-States,Transport-moving,Private,541
36,27053,HS-grad,Unmarried,White,Female,<=50K,9,Separated,0,0,40,United-States,Other-service,Self-emp-not-inc,552
72,205343,11th,Unmarried,White,Female,<=50K,7,Widowed,0,0,40,United-States,Adm-clerical,Private,553
17,242718,11th,Own-child,White,Male,<=50K,7,Never-married,0,0,12,USA,Sales,Private,573
65,195733,Some-college,Husband,White,Male,>50K,10,Married-civ-spouse,0,0,30,USA,,,581
21,226181,Bachelors,Not-in-family,White,Male,<=50K,13,Never-married,0,0,40,USA,Handlers-cleaners,Private,637
52,289436,Doctorate,Husband,White,Male,>50K,16,Married-civ-spouse,0,0,60,USA,Prof-specialty,Self-emp-not-inc,640
30,169496,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,0,0,40,USA,Tech-support,State-gov,650
20,81145,Some-college,Not-in-family,White,Female,<=50K,10,Never-married,0,0,25,USA,Sales,Private,665
29,92262,HS-grad,Own-child,White,Male,<=50K,9,Never-married,0,0,48,USA,Protective-serv,Local-gov,681
34,136721,HS-grad,Not-in-family,White,Female,<=50K,9,Divorced,0,0,40,USA,Exec-managerial,Private,686
26,167350,HS-grad,Other-relative,White,Male,<=50K,9,Never-married,0,0,30,USA,Other-service,Private,690
54,113000,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,40,USA,Farming-fishing,Local-gov,691
23,335453,Bachelors,Not-in-family,White,Female,<=50K,13,Never-married,0,0,20,United-States,Tech-support,State-gov,695
21,163870,Some-college,Own-child,White,Male,<=50K,10,Never-married,0,0,30,United-States,Handlers-cleaners,Private,703
31,295697,HS-grad,Unmarried,Black,Female,<=50K,9,Separated,0,0,40,United-States,Other-service,Private,716
29,271328,Bachelors,Not-in-family,White,Male,<=50K,13,Never-married,4650,0,40,United-States,Prof-specialty,Private,723
55,173093,Some-college,Not-in-family,Asian-Pac-Islander,Female,<=50K,10,Divorced,0,0,40,United-States,Adm-clerical,Private,732
26,181655,Assoc-voc,Husband,White,Male,<=50K,11,Married-civ-spouse,0,2377,45,United-States,Adm-clerical,Private,733
56,156052,HS-grad,Unmarried,Black,Female,<=50K,9,Widowed,594,0,20,United-States,Other-service,Private,739
33,120064,Bachelors,Not-in-family,White,Female,<=50K,13,Never-married,0,0,45,United-States,Prof-specialty,Local-gov,758
37,103408,HS-grad,Not-in-family,Black,Male,<=50K,9,Never-married,0,0,40,United-States,Farming-fishing,Private,760
34,119411,HS-grad,Unmarried,White,Male,<=50K,9,Divorced,0,0,40,Portugal,Protective-serv,Local-gov,763
61,36671,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,2352,50,United-States,Farming-fishing,Self-emp-not-inc,787
21,149704,HS-grad,Not-in-family,White,Female,<=50K,9,Never-married,1055,0,40,United-States,,,790
41,32185,Bachelors,Husband,White,Male,<=50K,13,Married-civ-spouse,0,0,40,United-States,Tech-support,Self-emp-inc,792
46,90758,Masters,Not-in-family,White,Male,>50K,14,Never-married,0,0,35,United-States,Tech-support,Private,799
22,219941,Some-college,Own-child,Black,Male,<=50K,10,Never-married,0,0,40,United-States,,,812
43,94113,Some-college,Not-in-family,White,Male,<=50K,10,Divorced,0,0,45,United-States,Exec-managerial,Private,813
47,191277,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,0,0,50,United-States,Transport-moving,Private,820
62,174355,HS-grad,Not-in-family,White,Female,<=50K,9,Widowed,0,0,40,United-States,Other-service,Private,827
26,280093,Some-college,Own-child,White,Male,<=50K,10,Never-married,0,0,40,United-States,Handlers-cleaners,Private,833
24,321435,Bachelors,Not-in-family,White,Male,<=50K,13,Never-married,0,0,50,United-States,Exec-managerial,Private,839
51,146813,Some-college,Husband,White,Male,>50K,10,Married-civ-spouse,0,0,40,United-States,Prof-specialty,Private,843
55,387569,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,4386,0,40,United-States,Craft-repair,Private,845
40,33274,HS-grad,Not-in-family,White,Female,<=50K,9,Divorced,0,0,50,United-States,Other-service,Local-gov,847
34,188798,Bachelors,Own-child,White,Female,<=50K,13,Never-married,0,0,40,United-States,Prof-specialty,Private,859
48,285335,11th,Husband,White,Male,<=50K,7,Married-civ-spouse,0,0,50,United-States,Exec-managerial,Private,863
71,143437,Masters,Husband,White,Male,>50K,14,Married-civ-spouse,10605,0,40,United-States,Sales,Self-emp-not-inc,873
55,282753,5th-6th,Unmarried,Black,Male,<=50K,3,Divorced,0,0,25,United-States,Other-service,Private,875
49,72393,9th,Not-in-family,White,Female,<=50K,5,Divorced,0,0,40,United-States,Machine-op-inspct,Private,881
33,155781,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,60,,Craft-repair,Self-emp-inc,888
35,372525,Bachelors,Not-in-family,White,Male,<=50K,13,Never-married,0,0,40,United-States,Exec-managerial,Self-emp-not-inc,892
37,183800,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,7688,0,50,United-States,Prof-specialty,Private,894
28,109165,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,40,United-States,Tech-support,Private,900
35,152375,HS-grad,Not-in-family,White,Male,<=50K,9,Never-married,0,0,45,United-States,Sales,Private,905
43,158926,Masters,Wife,Asian-Pac-Islander,Female,<=50K,14,Married-civ-spouse,0,0,50,South,Prof-specialty,Private,917
67,76860,HS-grad,Husband,Asian-Pac-Islander,Male,>50K,9,Married-civ-spouse,0,0,40,United-States,Exec-managerial,Self-emp-inc,918
25,98155,Some-college,Unmarried,White,Male,<=50K,10,Never-married,0,0,40,United-States,Transport-moving,Private,922
22,91842,Some-college,Not-in-family,White,Female,<=50K,10,Never-married,0,0,42,United-States,Sales,Private,929
43,250802,Some-college,Unmarried,White,Male,<=50K,10,Divorced,0,0,35,United-States,Craft-repair,Private,949
44,325159,Some-college,Unmarried,White,Male,<=50K,10,Divorced,0,0,40,United-States,Farming-fishing,Self-emp-not-inc,950
44,398473,Some-college,Husband,White,Male,>50K,10,Married-civ-spouse,0,0,70,United-States,Sales,Self-emp-inc,957
34,159929,HS-grad,Own-child,White,Male,<=50K,9,Divorced,0,0,40,United-States,Handlers-cleaners,Private,980
39,329980,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,15024,0,50,United-States,Exec-managerial,Self-emp-inc,1000
50,767403,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,3103,0,40,United-States,Machine-op-inspct,Private,1013
48,207848,10th,Wife,White,Female,<=50K,6,Married-civ-spouse,0,0,40,United-States,Adm-clerical,Private,1029
32,206365,HS-grad,Not-in-family,Black,Female,<=50K,9,Never-married,0,0,40,United-States,Other-service,Private,1034
24,34446,Some-college,Not-in-family,White,Female,<=50K,10,Never-married,0,0,37,United-States,Tech-support,Private,1045
36,29984,12th,Husband,White,Male,<=50K,8,Married-civ-spouse,0,0,40,United-States,Transport-moving,Private,1068
58,81642,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,60,United-States,Farming-fishing,Self-emp-not-inc,1083
42,150533,Some-college,Husband,White,Male,>50K,10,Married-civ-spouse,7298,0,52,United-States,Exec-managerial,Private,1089
21,163870,Some-college,Own-child,White,Male,<=50K,10,Never-married,0,0,40,United-States,Adm-clerical,Private,1095
20,230891,Some-college,Not-in-family,White,Male,<=50K,10,Never-married,0,0,45,United-States,Sales,Private,1142
44,193459,Assoc-voc,Husband,White,Male,<=50K,11,Married-civ-spouse,3411,0,40,United-States,Craft-repair,Private,1161
50,133963,Bachelors,Wife,White,Female,>50K,13,Married-civ-spouse,0,1977,40,United-States,Prof-specialty,Private,1165
33,178506,HS-grad,Not-in-family,Black,Female,<=50K,9,Divorced,0,0,40,United-States,Adm-clerical,Private,1166
65,350498,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,10605,0,20,United-States,Adm-clerical,Private,1167
25,404616,Masters,Not-in-family,White,Male,>50K,14,Married-civ-spouse,0,0,99,United-States,Farming-fishing,Private,1173
47,45857,HS-grad,Unmarried,White,Female,<=50K,9,Never-married,0,0,40,United-States,Adm-clerical,Private,1179
59,151616,Masters,Husband,White,Male,<=50K,14,Married-civ-spouse,0,0,55,United-States,Prof-specialty,Private,1198
33,221196,Some-college,Husband,Black,Male,<=50K,10,Married-civ-spouse,0,0,40,United-States,Craft-repair,Private,1205
48,243631,Some-college,Husband,Amer-Indian-Eskimo,Male,>50K,10,Married-civ-spouse,7688,0,40,United-States,Craft-repair,Self-emp-not-inc,1217
31,231263,Bachelors,Not-in-family,White,Male,<=50K,13,Divorced,4650,0,45,United-States,Exec-managerial,Private,1219
53,22154,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,40,United-States,Craft-repair,Private,1223
42,166813,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,60,United-States,Farming-fishing,Self-emp-not-inc,1228
46,265266,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,0,1902,40,United-States,Prof-specialty,Private,1231
52,31838,HS-grad,Unmarried,White,Female,<=50K,9,Divorced,0,0,40,United-States,Adm-clerical,Federal-gov,1232
48,397466,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,60,United-States,Exec-managerial,Self-emp-not-inc,1252
22,153516,Some-college,Own-child,White,Male,<=50K,10,Never-married,0,0,35,United-States,Craft-repair,Self-emp-inc,1265
50,343748,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,35,United-States,Craft-repair,Self-emp-not-inc,1268
37,387430,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,37,United-States,Adm-clerical,Private,1269
65,36039,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,0,0,40,United-States,,,1283
36,113397,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,40,United-States,Handlers-cleaners,Private,1295
44,34935,Some-college,Own-child,Black,Male,<=50K,10,Never-married,0,0,40,United-States,Other-service,Local-gov,1299
36,180686,Prof-school,Husband,White,Male,<=50K,15,Married-civ-spouse,0,0,50,United-States,Prof-specialty,Self-emp-not-inc,1304
43,85995,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,45,United-States,Sales,Private,1309
51,179646,HS-grad,Unmarried,White,Female,<=50K,9,Divorced,0,0,40,United-States,Adm-clerical,Private,1314
35,327120,Assoc-acdm,Not-in-family,White,Male,<=50K,12,Never-married,0,0,55,United-States,,,1318
25,188488,HS-grad,Other-relative,White,Male,<=50K,9,Never-married,0,0,40,United-States,Machine-op-inspct,Private,1331
61,134768,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,0,0,50,Germany,Exec-managerial,Self-emp-inc,1347
61,30073,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,0,1848,60,United-States,Farming-fishing,Self-emp-not-inc,1356
36,191161,HS-grad,Not-in-family,White,Male,<=50K,9,Never-married,0,0,50,United-States,Sales,Private,1359
52,146378,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,0,0,40,United-States,Craft-repair,Private,1362
26,403788,Assoc-acdm,Own-child,Black,Male,<=50K,12,Never-married,0,0,40,United-States,Other-service,Private,1371
43,169203,Assoc-voc,Not-in-family,White,Female,<=50K,11,Never-married,0,0,35,United-States,Adm-clerical,Local-gov,1375
54,449257,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,40,United-States,Farming-fishing,Private,1378
42,230624,10th,Unmarried,White,Male,>50K,6,Never-married,0,0,40,United-States,Transport-moving,Private,1396
40,260696,HS-grad,Not-in-family,White,Female,<=50K,9,Never-married,0,0,40,United-States,Adm-clerical,Private,1401
24,241523,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,0,0,45,United-States,Other-service,Private,1406
31,179186,Bachelors,Husband,Black,Male,>50K,13,Married-civ-spouse,0,0,90,United-States,Sales,Private,1418
57,173796,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,0,1887,40,United-States,Transport-moving,Private,1430
59,296253,HS-grad,Not-in-family,White,Female,<=50K,9,Divorced,0,0,40,United-States,Exec-managerial,Private,1432
36,218542,Assoc-acdm,Wife,White,Female,>50K,12,Married-civ-spouse,0,0,40,United-States,Adm-clerical,Federal-gov,1438
36,336595,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,0,0,50,United-States,Exec-managerial,Private,1443
44,120837,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,66,United-States,Exec-managerial,Self-emp-not-inc,1448
17,333100,10th,Own-child,White,Male,<=50K,6,Never-married,1055,0,30,United-States,,,1453
40,100584,10th,Not-in-family,Amer-Indian-Eskimo,Male,<=50K,6,Divorced,0,0,40,United-States,Craft-repair,Private,1465
40,228535,Assoc-acdm,Husband,White,Male,>50K,12,Married-civ-spouse,7298,0,36,United-States,Prof-specialty,Private,1470
28,216481,Bachelors,Not-in-family,White,Female,<=50K,13,Never-married,0,0,40,United-States,Prof-specialty,Local-gov,1473
53,263925,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,99999,0,40,United-States,Sales,Self-emp-inc,1483
32,402812,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,48,United-States,Sales,Private,1491
28,210295,11th,Husband,White,Male,>50K,7,Married-civ-spouse,0,0,50,United-States,Craft-repair,Self-emp-inc,1496
20,32732,Some-college,Not-in-family,White,Male,<=50K,10,Never-married,0,0,45,United-States,Other-service,Private,1503
20,431745,Some-college,Not-in-family,Black,Female,<=50K,10,Never-married,0,0,14,United-States,Adm-clerical,Private,1509
25,224943,Some-college,Unmarried,Black,Male,<=50K,10,Married-spouse-absent,0,0,40,United-States,Prof-specialty,Private,1511
35,265954,HS-grad,Not-in-family,Black,Male,<=50K,9,Separated,0,0,40,United-States,Other-service,Private,1540
27,148069,10th,Unmarried,White,Female,<=50K,6,Never-married,0,0,40,United-States,Machine-op-inspct,Private,1550
56,117148,7th-8th,Not-in-family,White,Female,<=50K,4,Divorced,0,0,40,United-States,Machine-op-inspct,Private,1553
21,236684,Some-college,Other-relative,Black,Female,<=50K,10,Never-married,0,0,8,United-States,Other-service,Private,1560
42,141459,HS-grad,Other-relative,Black,Female,<=50K,9,Separated,0,0,40,United-States,Other-service,Federal-gov,1565
49,261059,10th,Own-child,White,Male,<=50K,6,Separated,2176,0,40,United-States,,,1575
52,208137,Assoc-voc,Husband,White,Male,<=50K,11,Married-civ-spouse,0,0,40,United-States,Adm-clerical,Private,1576
65,207281,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,16,United-States,Protective-serv,Private,1591
33,149184,HS-grad,Not-in-family,White,Male,>50K,9,Never-married,0,0,60,United-States,Prof-specialty,Private,1596
37,910398,Bachelors,Not-in-family,Black,Female,<=50K,13,Never-married,0,0,40,United-States,Sales,Private,1598
39,379350,10th,Husband,White,Male,<=50K,6,Married-civ-spouse,0,0,40,United-States,Craft-repair,Private,1609
50,21095,Some-college,Unmarried,Asian-Pac-Islander,Male,<=50K,10,Divorced,0,0,40,Philippines,Other-service,Private,1610
58,211547,12th,Not-in-family,White,Female,<=50K,8,Divorced,0,0,52,United-States,Sales,Self-emp-not-inc,1611
31,175548,HS-grad,Not-in-family,Other,Female,<=50K,9,Never-married,0,0,35,United-States,Other-service,Private,1625
35,107991,11th,Not-in-family,White,Male,<=50K,7,Never-married,0,0,45,United-States,Sales,Private,1668
27,128059,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,50,United-States,Craft-repair,Federal-gov,1679
17,103851,11th,Own-child,White,Female,<=50K,7,Never-married,1055,0,20,United-States,Adm-clerical,Private,1692
51,415287,HS-grad,Husband,Black,Male,>50K,9,Married-civ-spouse,0,1902,40,United-States,Machine-op-inspct,Private,1696
29,112031,HS-grad,Not-in-family,White,Female,<=50K,9,Divorced,0,0,50,United-States,Craft-repair,Private,1704
22,376277,Some-college,Not-in-family,White,Female,<=50K,10,Divorced,0,0,35,United-States,,,1705
57,52267,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,72,United-States,Transport-moving,Local-gov,1740
50,196963,7th-8th,Not-in-family,White,Female,<=50K,4,Divorced,0,0,30,United-States,Craft-repair,Private,1743
37,349689,HS-grad,Unmarried,White,Female,<=50K,9,Divorced,0,0,40,United-States,Adm-clerical,Private,1753
53,196328,HS-grad,Husband,Black,Male,>50K,9,Married-civ-spouse,0,0,45,United-States,Exec-managerial,Self-emp-not-inc,1755
47,162924,Bachelors,Not-in-family,Asian-Pac-Islander,Male,<=50K,13,Divorced,0,0,60,Japan,Exec-managerial,Self-emp-not-inc,1757
41,165309,Bachelors,Unmarried,White,Female,<=50K,13,Divorced,0,0,40,United-States,Adm-clerical,Private,1763
49,159816,Bachelors,Wife,White,Female,>50K,13,Married-civ-spouse,99999,23439,20,United-States,Prof-specialty,Private,1766
28,186792,Bachelors,Husband,White,Male,<=50K,13,Married-civ-spouse,0,0,40,United-States,Adm-clerical,Private,1801
35,183898,Assoc-voc,Husband,White,Male,>50K,11,Married-civ-spouse,7298,0,50,United-States,Exec-managerial,Private,1812
43,206139,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,0,0,50,United-States,Adm-clerical,State-gov,1820
23,64292,HS-grad,Not-in-family,White,Female,<=50K,9,Never-married,0,0,40,United-States,Adm-clerical,Private,1836
21,131811,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,40,United-States,Handlers-cleaners,Private,1851
28,236861,Bachelors,Unmarried,White,Male,<=50K,13,Divorced,0,0,50,United-States,Craft-repair,Private,1854
25,190057,Bachelors,Own-child,White,Female,<=50K,13,Never-married,0,0,40,United-States,Prof-specialty,Local-gov,1856
44,55076,Masters,Not-in-family,White,Female,<=50K,14,Never-married,0,0,60,United-States,Prof-specialty,State-gov,1857
42,445382,Bachelors,Not-in-family,White,Male,>50K,13,Separated,0,0,45,United-States,Exec-managerial,Local-gov,1896
65,27012,7th-8th,Unmarried,White,Female,<=50K,4,Widowed,0,0,50,United-States,Farming-fishing,Without-pay,1902
36,188834,9th,Husband,White,Male,<=50K,5,Married-civ-spouse,0,0,50,United-States,Transport-moving,Private,1910
47,162034,Bachelors,Husband,White,Male,<=50K,13,Married-civ-spouse,0,0,70,United-States,Sales,Private,1917
32,120426,HS-grad,Unmarried,White,Female,<=50K,9,Separated,0,0,40,United-States,Adm-clerical,Private,1921
57,195176,Masters,Not-in-family,White,Male,<=50K,14,Never-married,0,0,80,United-States,Prof-specialty,Private,1930
50,156008,11th,Own-child,Black,Female,<=50K,7,Married-civ-spouse,0,0,40,United-States,,,1932
28,162551,7th-8th,Other-relative,Asian-Pac-Islander,Female,<=50K,4,Married-civ-spouse,0,0,48,China,Machine-op-inspct,Private,1933
66,263637,10th,Husband,White,Male,<=50K,6,Married-civ-spouse,0,0,40,United-States,Protective-serv,Private,1955
40,201495,11th,Own-child,White,Male,<=50K,7,Never-married,0,0,35,United-States,Transport-moving,Private,1956
64,170483,HS-grad,Not-in-family,White,Female,<=50K,9,Widowed,0,0,38,United-States,Other-service,Private,1958
51,159755,Masters,Husband,White,Male,>50K,14,Married-civ-spouse,0,0,40,United-States,Prof-specialty,Local-gov,1962
39,473547,10th,Own-child,Black,Male,<=50K,6,Divorced,0,0,40,United-States,Handlers-cleaners,Local-gov,1980
53,260106,Prof-school,Not-in-family,White,Female,<=50K,15,Divorced,0,0,50,United-States,Prof-specialty,Local-gov,1981
54,138852,Some-college,Husband,White,Male,>50K,10,Married-civ-spouse,0,0,45,United-States,Sales,Self-emp-inc,1987
28,246595,HS-grad,Own-child,White,Male,<=50K,9,Never-married,0,0,70,United-States,Craft-repair,Private,2009
57,370890,HS-grad,Not-in-family,White,Male,<=50K,9,Never-married,0,2258,40,United-States,Adm-clerical,Federal-gov,2018
23,194102,Bachelors,Unmarried,White,Male,<=50K,13,Never-married,0,0,40,United-States,Exec-managerial,Private,2041
53,274528,Bachelors,Not-in-family,White,Male,<=50K,13,Divorced,0,0,70,United-States,Exec-managerial,Private,2045
17,60116,10th,Own-child,White,Male,<=50K,6,Never-married,0,0,10,United-States,Adm-clerical,Self-emp-not-inc,2046
20,170038,HS-grad,Not-in-family,White,Female,<=50K,9,Never-married,0,0,40,United-States,Sales,Private,2055
32,549430,HS-grad,Unmarried,White,Female,<=50K,9,Never-married,0,0,40,Mexico,Priv-house-serv,Private,2066
34,204991,Some-college,Own-child,White,Male,<=50K,10,Divorced,0,0,44,United-States,Exec-managerial,Private,2070
29,410351,Bachelors,Not-in-family,White,Male,<=50K,13,Never-married,0,0,40,United-States,,,2092
66,146454,Some-college,Husband,White,Male,>50K,10,Married-civ-spouse,5556,0,40,United-States,Sales,Private,2110
30,203277,HS-grad,Husband,White,Male,>50K,9,Married-civ-spouse,0,0,60,United-States,Protective-serv,Private,2111
28,130620,11th,Unmarried,Asian-Pac-Islander,Female,<=50K,7,Separated,0,0,40,India,Adm-clerical,State-gov,2131
34,209317,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,0,0,40,Puerto-Rico,Transport-moving,Private,2145
45,242391,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,0,0,40,United-States,Exec-managerial,Private,2168
60,123992,Some-college,Husband,White,Male,<=50K,10,Married-civ-spouse,0,0,45,United-States,Craft-repair,Private,2177
